eventName,eventSource,awsService,description,mitreAttackTactics,mitreAttackTechniques,mitreAttackSubTechniques,usedInWild,incidents,researchLinks,securityImplications,alerting,simulation,permissions,unverifiedMitreAttackTechniques
ResumeSession,ssm.amazonaws.com,SSM,Reconnects a session to a managed node after it has been disconnected.,"TA0008 - Lateral Movement, TA0002 - Execution","T1021 - Remote Services, T1651 - Cloud Administration Command",,False,[],"[{""description"": ""Attack Paths Into VMs in the Cloud"", ""link"": ""https://unit42.paloaltonetworks.com/cloud-virtual-machine-attack-vectors/""}]",Attackers might use ResumeSession to gain unauthorized access to managed instances.,[],"[{""type"": ""commandLine"", ""value"": ""aws ssm resume-session --session-id TrailDiscoverTarget""}]",https://aws.permissions.cloud/iam/ssm#ssm-ResumeSession,"[{""technique"": ""T1078 - Valid Accounts"", ""reason"": ""Attackers can use valid credentials to reconnect to a previously disconnected session, allowing them to maintain persistent access to a system without re-authenticating.""}, {""technique"": ""T1105 - Ingress Tool Transfer"", ""reason"": ""By reconnecting to an active session, attackers can continue to upload malicious tools or scripts to the managed node without needing to initiate a new session, facilitating ongoing exploitation.""}, {""technique"": ""T1071 - Application Layer Protocol"", ""reason"": ""The reconnection process uses HTTPS, allowing attackers to maintain an encrypted communication channel, which could be used for executing commands or transferring data during the resumed session.""}]"
ListApplications,servicecatalog-appregistry.amazonaws.com,ServiceCatalog,Retrieves a list of all of your applications.,TA0007 - Discovery,T1526 - Cloud Service Discovery,,True,"[{""description"": ""Crimson Collective: A New Threat Group Observed Operating in the Cloud"", ""link"": ""https://www.rapid7.com/blog/post/tr-crimson-collective-a-new-threat-group-observed-operating-in-the-cloud/""}]",[],Reveals cloud resources which may be targeted for further exploration or exploitation.,[],"[{""type"": ""commandLine"", ""value"": ""aws servicecatalog-appregistry list-applications""}]",https://aws.permissions.cloud/iam/appconfig#appconfig-ListApplications,[]
ListSecrets,secretsmanager.amazonaws.com,SecretsManager,"Lists the secrets that are stored by Secrets Manager in the AWS account, not including secrets that are marked for deletion.",TA0006 - Credential Access,T1555 - Credentials from Password Stores,,True,"[{""description"": ""Muddled Libra\u2019s Evolution to the Cloud"", ""link"": ""https://unit42.paloaltonetworks.com/muddled-libra-evolution-to-cloud/""}, {""description"": ""Detecting AI resource-hijacking with Composite Alerts"", ""link"": ""https://www.lacework.com/blog/detecting-ai-resource-hijacking-with-composite-alerts""}, {""description"": ""Tales from the cloud trenches: Raiding for AWS vaults, buckets and secrets"", ""link"": ""https://securitylabs.datadoghq.com/articles/tales-from-the-cloud-trenches-raiding-for-vaults-buckets-secrets/""}, {""description"": ""Cloud-Conscious Tactics, Techniques,and Procedures (TTPs)"", ""link"": ""https://fwdcloudsec.org/assets/presentations/2024/europe/sebastian-walla-cloud-conscious-tactics-techniques-and-procedures-an-overview.pdf""}]",[],Attackers might use ListSecrets to list all the secrets and potentially access to them later.,[],"[{""type"": ""commandLine"", ""value"": ""aws secretsmanager list-secrets""}, {""type"": ""stratusRedTeam"", ""value"": ""https://stratus-red-team.cloud/attack-techniques/AWS/aws.credential-access.secretsmanager-retrieve-secrets""}]",https://aws.permissions.cloud/iam/secretsmanager#secretsmanager-ListSecrets,"[{""technique"": ""T1526 - Cloud Service Discovery"", ""reason"": ""The ListSecrets API call allows an attacker to enumerate stored secrets within the AWS environment, facilitating discovery of sensitive information or configurations.""}, {""technique"": ""T1552 - Unsecured Credentials"", ""reason"": ""An attacker listing secrets might identify credentials stored within Secrets Manager, which could lead to unauthorized access if those credentials are not properly secured or rotated.""}, {""technique"": ""T1078 - Valid Accounts"", ""reason"": ""By listing secrets, an attacker could discover credentials for valid accounts stored in Secrets Manager, which could then be used to gain unauthorized access to services or resources.""}, {""technique"": ""T1036 - Masquerading"", ""reason"": ""An attacker could use discovered secrets to masquerade as legitimate tasks or services, blending in with normal operations to avoid detection.""}]"
DescribeSecret,secretsmanager.amazonaws.com,SecretsManager,Retrieves the details of a secret.,TA0006 - Credential Access,T1555 - Credentials from Password Stores,T1555.006 - Credentials from Password Stores: Cloud Secrets Management Stores,True,"[{""description"": ""Muddled Libra\u2019s Evolution to the Cloud"", ""link"": ""https://unit42.paloaltonetworks.com/muddled-libra-evolution-to-cloud/""}]",[],Attackers might use DescribeSecret to get more information about the secrets that are stored in Secrets Manager.,[],"[{""type"": ""commandLine"", ""value"": ""aws secretsmanager describe-secret --secret-id TrailDiscover""}]",https://aws.permissions.cloud/iam/secretsmanager#secretsmanager-DescribeSecret,"[{""technique"": ""T1087 - Account Discovery"", ""reason"": ""The API call could reveal metadata about the secret, including associated AWS accounts or services, contributing to account discovery.""}, {""technique"": ""T1552 - Unsecured Credentials"", ""reason"": ""Although the secret value is not retrieved, the API may still provide information about the existence and purpose of certain credentials, which could be used to find unsecured credentials elsewhere""}, {""technique"": ""T1580 - Cloud Storage Object Discovery"", ""reason"": ""Information revealed by the API could point to cloud storage objects associated with the secret, helping to identify and potentially target cloud resources.""}, {""technique"": ""T1078 - Valid Accounts"", ""reason"": ""Metadata obtained might give clues about the existence of valid accounts, which could be useful in further attempts to gain unauthorized access.""}, {""technique"": ""T1213 - Data from Information Repositories"", ""reason"": ""Even without the secret value, information from the API could reveal details about data repositories or services that are secured by the secret, which could be exploited in further attacks.""}]"
GetSecretValue,secretsmanager.amazonaws.com,SecretsManager,"Retrieves the contents of the encrypted fields SecretString or SecretBinary from the specified version of a secret, whichever contains content.",TA0006 - Credential Access,T1555 - Credentials from Password Stores,T1555.006 - Credentials from Password Stores: Cloud Secrets Management Stores,True,"[{""description"": ""LUCR-3: SCATTERED SPIDER GETTING SAAS-Y IN THE CLOUD"", ""link"": ""https://permiso.io/blog/lucr-3-scattered-spider-getting-saas-y-in-the-cloud""}, {""description"": ""Muddled Libra\u2019s Evolution to the Cloud"", ""link"": ""https://unit42.paloaltonetworks.com/muddled-libra-evolution-to-cloud/""}, {""description"": ""Cloud-Conscious Tactics, Techniques,and Procedures (TTPs)"", ""link"": ""https://fwdcloudsec.org/assets/presentations/2024/europe/sebastian-walla-cloud-conscious-tactics-techniques-and-procedures-an-overview.pdf""}]",[],Attackers might use GetSecretValue to illicitly access sensitive information stored in the SecretsManager.,[],"[{""type"": ""commandLine"", ""value"": ""aws secretsmanager get-secret-value --secret-id TrailDiscoverSecretId""}, {""type"": ""stratusRedTeam"", ""value"": ""https://stratus-red-team.cloud/attack-techniques/AWS/aws.credential-access.secretsmanager-batch-retrieve-secrets""}, {""type"": ""stratusRedTeam"", ""value"": ""https://stratus-red-team.cloud/attack-techniques/AWS/aws.credential-access.secretsmanager-retrieve-secrets""}]",https://aws.permissions.cloud/iam/secretsmanager#secretsmanager-GetSecretValue,"[{""technique"": ""T1078 - Valid Accounts"", ""reason"": ""Attackers can use retrieved secrets to log into cloud accounts or services, expanding their control over the cloud environment.""}, {""technique"": ""T1580 - Cloud Infrastructure Discovery"", ""reason"": ""Accessing secrets via GetSecretValue provides insights into cloud resource configurations and other details useful for discovering and mapping the cloud infrastructure.""}, {""technique"": ""T1082 - System Information Discovery"", ""reason"": ""Retrieving secrets may give attackers information about the system, such as environment configurations, which helps them understand the environment they are targeting.""}]"
DescribeKey,kms.amazonaws.com,KMS,Provides detailed information about a KMS key.,TA0007 - Discovery,T1526 - Cloud Service Discovery,,False,[],"[{""description"": ""Encrypting buckets for compliance and ransom - How Attackers Can Use KMS to Ransomware S3 Buckets"", ""link"": ""https://blog.pepperclipp.com/pepperclipp-public/encrypting-buckets-for-compliance-and-ransom-how-attackers-can-use-kms-to-ransomware-s3-buckets""}]",Attackers might use DescribeKey to check information of KMS keys in ransomware attacks.,[],"[{""type"": ""commandLine"", ""value"": ""aws kms describe-key --key-id 1234abcd-12ab-34cd-56ef-1234567890ab""}]",https://aws.permissions.cloud/iam/kms#kms-DescribeKey,[]
Encrypt,kms.amazonaws.com,KMS,"Encrypts plaintext of up to 4,096 bytes using a KMS key. ",TA0040 - Impact,T1486 - Data Encrypted for Impact,,True,"[{""description"": ""Cloud Security Stories: From Risky Permissions to Ransomware Execution"", ""link"": ""https://sonraisecurity.com/blog/cloud-security-stories-from-risky-permissions-to-ransomware-execution/""}]","[{""description"": ""Encrypting buckets for compliance and ransom - How Attackers Can Use KMS to Ransomware S3 Buckets"", ""link"": ""https://blog.pepperclipp.com/pepperclipp-public/encrypting-buckets-for-compliance-and-ransom-how-attackers-can-use-kms-to-ransomware-s3-buckets""}]",Attackers might use Encrypt to encrypt data for ransom.,[],"[{""type"": ""commandLine"", ""value"": ""N/A""}]",https://aws.permissions.cloud/iam/kms#kms-Encrypt,"[{""technique"": ""T1560 - Archive Collected Data"", ""reason"": ""Encrypting data before exfiltration can help to evade detection and bypass certain security controls, however this would be quite noisy.""}, {""technique"": ""T1027 - Obfuscated Files or Information"", ""reason"": ""Encrypting information can make it harder for security tools to analyze the content of the data, aiding in evasion. This could be used for things like other keys to avoid suspicion.""}]"
ScheduleKeyDeletion,kms.amazonaws.com,KMS,Schedules the deletion of a KMS key.,TA0040 - Impact,T1485 - Data Destruction,,False,[],"[{""description"": "" Threat Hunting with CloudTrail and GuardDuty in Splunk"", ""link"": ""https://www.chrisfarris.com/post/reinforce-threat-hunting/""}]","Attackers might use ScheduleKeyDeletion to schedule the deletion of crucial encryption keys, disrupting data security and access.","[{""type"": ""cloudwatchCISControls"", ""value"": ""https://docs.aws.amazon.com/securityhub/latest/userguide/cloudwatch-controls.html#cloudwatch-7""}]","[{""type"": ""commandLine"", ""value"": ""N/A""}]",https://aws.permissions.cloud/iam/kms#kms-ScheduleKeyDeletion,"[{""technique"": ""T1561 - Disk Wipe"", ""reason"": ""By scheduling the deletion of a KMS key, the adversary could render encrypted data useless, effectively wiping the disk content indirectly.""}, {""technique"": ""T1499 - Endpoint Denial of Service"", ""reason"": ""Deleting a KMS key can disrupt the availability of data, causing a denial of service on the applications relying on the encrypted data.""}, {""technique"": ""T1098 - Account Manipulation"", ""reason"": ""The scheduling of a key deletion might involve manipulating existing KMS permissions or roles to gain the necessary rights to perform the action.""}, {""technique"": ""T1562 - Impair Defenses"", ""reason"": ""Deleting a KMS key can impair security defenses by making logs or other critical data inaccessible if they are encrypted with the deleted key.""}, {""technique"": ""T1486 - Data Encrypted for Impact"", ""reason"": ""By deleting the encryption key, the adversary ensures that the encrypted data is rendered unusable, impacting the integrity and availability of the data.""}]"
PutKeyPolicy,kms.amazonaws.com,KMS,Attaches a key policy to the specified KMS key.,TA0040 - Impact,T1486 - Data Encrypted for Impact,,False,[],"[{""description"": ""Encrypting buckets for compliance and ransom - How Attackers Can Use KMS to Ransomware S3 Buckets"", ""link"": ""https://blog.pepperclipp.com/pepperclipp-public/encrypting-buckets-for-compliance-and-ransom-how-attackers-can-use-kms-to-ransomware-s3-buckets""}]",Attackers might put a new key polocy to modify the policy of a current KMS Key and lock the data for ransomware attacks.,[],"[{""type"": ""commandLine"", ""value"": ""aws kms put-key-policy --key-id 1234abcd-12ab-34cd-56ef-1234567890ab --policy-name default --policy \""{\""Version\"":\""2012-10-17\"",\""Id\"":\""key-default-1\"",\""Statement\"":[{\""Sid\"":\""Enable IAM User Permissions\"",\""Effect\"":\""Allow\"",\""Principal\"":{\""AWS\"":\""arn:aws:iam::123456789012:root\""},\""Action\"":\""kms:*\"",\""Resource\"":\""*\""}]}\""""}]",https://aws.permissions.cloud/iam/kms#kms-PutKeyPolicy,[]
GenerateDataKeyWithoutPlaintext,kms.amazonaws.com,KMS,Returns a unique symmetric data key for use outside of AWS KMS.,TA0040 - Impact,T1486 - Data Encrypted for Impact,,True,"[{""description"": ""Cloud Security Stories: From Risky Permissions to Ransomware Execution"", ""link"": ""https://sonraisecurity.com/blog/cloud-security-stories-from-risky-permissions-to-ransomware-execution/""}]",[],Attackers might use GenerateDataKeyWithoutPlaintext to generate encryption keys that can decrypt data in a ransom.,[],"[{""type"": ""commandLine"", ""value"": ""N/A""}]",https://aws.permissions.cloud/iam/kms#kms-GenerateDataKeyWithoutPlaintext,"[{""technique"": ""T1485 - Data Destruction"", ""reason"": ""The symmetric data key can be used to encrypt or delete critical data, rendering it useless and causing operational disruptions.""}, {""technique"": ""T1560 - Archive Collected Data"", ""reason"": ""The data key can facilitate the encryption of collected data before exfiltration to avoid detection.""}]"
CreateKey,kms.amazonaws.com,KMS,Creates a unique customer managed KMS key in your AWS account and Region.,TA0040 - Impact,T1486 - Data Encrypted for Impact,,False,[],"[{""description"": ""Encrypting buckets for compliance and ransom - How Attackers Can Use KMS to Ransomware S3 Buckets"", ""link"": ""https://blog.pepperclipp.com/pepperclipp-public/encrypting-buckets-for-compliance-and-ransom-how-attackers-can-use-kms-to-ransomware-s3-buckets""}]","Attackers might create keys only accessible by the identity they have compromised, for later encrypt data and delete access to it for ransomware attacks.",[],"[{""type"": ""commandLine"", ""value"": ""aws kms create-key""}]",https://aws.permissions.cloud/iam/kms#kms-CreateKey,[]
RemoveTargets,events.amazonaws.com,events,Removes the specified targets from the specified rule.,"TA0040 - Impact, TA0005 - Defense Evasion","T1489 - Service Stop, T1578 - Modify Cloud Compute Infrastructure",,False,[],"[{""description"": ""Modify GuardDuty Configuration"", ""link"": ""https://hackingthe.cloud/aws/avoiding-detection/modify-guardduty-config/""}]","Attackers might use RemoveTargets in AWS EventBridge to eliminate crucial targets from event rules, effectively disabling intended actions or notifications triggered by specific events.",[],"[{""type"": ""commandLine"", ""value"": ""aws events remove-targets --rule TrailDiscoverRule --ids TrailDiscoverTargetId""}]",https://aws.permissions.cloud/iam/events#events-RemoveTargets,"[{""technique"": ""T1098 - Account Manipulation"", ""reason"": ""Manipulating EventBridge rules by removing targets can alter the capabilities and behaviors of accounts without directly deleting them.""}, {""technique"": ""T1562 - Impair Defenses"", ""reason"": ""Removing security monitoring targets from EventBridge rules can impair defenses by preventing certain security actions from being triggered.""}]"
